Year,NT_Jan_humidity,NT_Feb_humidity,NT_Mar_humidity,NT_Apr_humidity,NT_May_humidity,NT_Jun_humidity,NT_Jul_humidity,NT_Aug_humidity,NT_Sep_humidity,NT_Oct_humidity,NT_Nov_humidity,NT_Dec_humidity,NT_Jan_wind,NT_Feb_wind,NT_Mar_wind,NT_Apr_wind,NT_May_wind,NT_Jun_wind,NT_Jul_wind,NT_Aug_wind,NT_Sep_wind,NT_Oct_wind,NT_Nov_wind,NT_Dec_wind,NT_Jan_uva,NT_Feb_uva,NT_Mar_uva,NT_Apr_uva,NT_May_uva,NT_Jun_uva,NT_Jul_uva,NT_Aug_uva,NT_Sep_uva,NT_Oct_uva,NT_Nov_uva,NT_Dec_uva,NT_Jan_uvb,NT_Feb_uvb,NT_Mar_uvb,NT_Apr_uvb,NT_May_uvb,NT_Jun_uvb,NT_Jul_uvb,NT_Aug_uvb,NT_Sep_uvb,NT_Oct_uvb,NT_Nov_uvb,NT_Dec_uvb,NT_Jan_eva,NT_Feb_eva,NT_Mar_eva,NT_Apr_eva,NT_May_eva,NT_Jun_eva,NT_Jul_eva,NT_Aug_eva,NT_Sep_eva,NT_Oct_eva,NT_Nov_eva,NT_Dec_eva,NT_Jan_temp,NT_Feb_temp,NT_Mar_temp,NT_Apr_temp,NT_May_temp,NT_Jun_temp,NT_Jul_temp,NT_Aug_temp,NT_Sep_temp,NT_Oct_temp,NT_Nov_temp,NT_Dec_temp,NT_Jan_rain,NT_Feb_rain,NT_Mar_rain,NT_Apr_rain,NT_May_rain,NT_Jun_rain,NT_Jul_rain,NT_Aug_rain,NT_Sep_rain,NT_Oct_rain,NT_Nov_rain,NT_Dec_rain,Covid
2000,76,81.75,83.19,80.31,81.81,83.19,83.88,81.94,83.75,83.75,80.5,81.69,10.98,11.43,11.53,7.63,15.54,6.49,14.08,11.2,13.37,13.41,13.97,15.09,11.72,14.11,16.07,17.4,17.4,15.95,14.58,14.05,14.36,14,12.93,11.76,0.34,0.43,0.49,0.52,0.51,0.48,0.45,0.44,0.44,0.41,0.36,0.33,329.47,206.73,204.71,169.86,170.62,149.8,162.21,200.83,260.73,252.35,267.2,259.51,30.17,28.57,27.53,25.13,19.86,17.09,19.37,20.6,25.14,26.14,29.36,28.57,80.07,269.77,153.89,120.19,8.95,4.3,0.2,0.79,0.46,72.2,81.34,211.99,0
2001,80.38,78.94,79.12,78.56,81.69,81.38,83.81,84.44,84.81,79.62,82.56,77.88,11.5,12.19,10.32,8.31,8.18,13.91,24.54,15.93,7.86,13.35,14.28,6.93,11.96,13.67,16.1,16.7,17.47,15.7,13.73,11.98,15.98,14.98,11.09,11.3,0.34,0.41,0.49,0.48,0.52,0.47,0.41,0.37,0.48,0.44,0.32,0.33,267.43,211.74,191.23,217.29,184.03,158,156.17,195.95,242.6,262.32,276.5,275.43,30,28.96,26.32,24.64,20.42,19.43,18.57,19.24,24.31,26.57,28.64,29.88,144.13,228.36,189.05,32.57,1.23,13.38,14.84,0.11,3.21,49.4,69.61,112.7,0
2002,78.44,78,80,78.44,79.88,81.94,84.75,84.5,84.31,79.75,79.31,78.38,8.33,7.71,17.56,7.26,7.53,13.42,14.38,12.85,10.01,7.36,10.41,8.76,12.45,14.39,15.52,17.34,17.95,15.99,12,14.06,15.42,15.7,12.91,12.81,0.35,0.43,0.48,0.5,0.52,0.48,0.37,0.44,0.48,0.46,0.36,0.34,285.48,243.01,286.45,257.06,229.26,190.36,184.53,226.76,292.19,356.56,335.04,376.71,29.9,28.7,27.87,27.4,22.92,18.04,17.54,19.38,25.3,27.89,30.69,31.32,97.39,190.68,23.61,8.48,0.78,0.1,0.14,0.05,2.68,1.46,42.83,31.97,0
2003,78.62,76.88,78.75,80.56,81.06,80.75,83,85.19,83.19,82.69,80.38,80.94,11.36,9.43,8.79,17.17,8.49,13.55,21.59,11.67,10.77,20.52,14.06,12.12,11.3,14.52,16.85,17.45,17.57,15.31,16.23,13.89,14.09,13.16,10.93,11.43,0.32,0.44,0.52,0.52,0.51,0.45,0.48,0.43,0.43,0.4,0.31,0.32,323.45,249.09,279.46,251.13,222.19,178.99,190.14,224.41,277.22,350.77,325.14,283.09,29.67,29.5,26.88,26.85,22.43,19.11,18.75,20.92,25.9,26.98,29.85,30.44,178.43,181.3,73.38,11.06,1.14,3.51,1.1,3.49,2.85,5.71,37.7,182.16,0
2004,80.81,81.5,79.75,79.31,83.38,82.56,82.88,84.94,81,81.81,82.81,80.94,9.55,10.59,13.55,29.58,11.95,16.7,8.64,16.06,9.91,16.09,14.61,17.57,11.76,13.38,15.46,16.33,16.44,13.89,17.14,12.74,16.62,13.34,12.84,11.77,0.34,0.41,0.48,0.49,0.48,0.41,0.52,0.39,0.49,0.39,0.35,0.32,302.66,217.46,274.79,256.19,173.78,155.21,182.02,213.6,261.65,345.67,336.32,358.08,30.55,28.67,28.63,26.42,22.51,18.94,18.54,20.13,22.43,28.92,29.92,30.88,139.57,222.93,89.74,5.61,48.14,5.81,0.3,1.41,1.88,4.21,27.51,79.81,0
2005,76.94,76.06,79.75,79.88,77.69,82.12,83.69,84.94,84.75,81.69,81.06,81.62,12.91,8.6,9.84,12.34,6.8,20.12,10.84,15.25,12.36,9.29,15.09,9.27,11.65,14.88,16.29,15.84,16.65,14.68,15.6,13.18,13.77,14.82,12.7,10.07,0.32,0.42,0.49,0.48,0.48,0.44,0.48,0.41,0.42,0.44,0.37,0.29,379.61,318.1,385.38,298.44,241.76,162.78,180.23,223.82,276.07,297.25,311.01,311.33,30.39,30.04,29.22,28.48,22.46,20,19.54,20.42,26.33,29.34,30.2,31.11,106.94,53.19,71.8,4.66,0.78,18.88,12.49,1.29,5.86,51.9,53.61,90.84,0
2006,80.19,79.19,78.5,78.62,80.69,81.56,83.94,84.38,80.5,82.31,78.81,81.25,6.72,8.39,11.29,5.96,10.76,10.27,14.62,11.62,11.48,21.4,22.35,12.81,11.95,14.09,16.26,17.17,17.34,17.05,12.11,13.68,16.98,13.83,13.69,12.29,0.35,0.44,0.5,0.51,0.51,0.5,0.36,0.41,0.51,0.4,0.38,0.34,252.01,278.47,288.94,217.5,193.39,174.14,158.92,225.41,273.12,325.77,360.41,332.26,30.62,29.98,28.27,25.27,19.73,16.75,17.4,20.11,24.06,28.26,30.73,30.67,230.83,75.7,153.92,120.74,1.56,0.19,9.59,0.11,0.26,4.61,11.24,65.76,0
2007,79.62,78.5,75.62,78.69,81.06,81.44,82.06,82.88,83.5,82.69,82.75,80.44,11.01,10.22,7.47,7.23,8.43,10.26,13.02,16.45,12.95,16.07,11.52,7.54,11.45,14.54,16.45,17.71,16.92,17.82,16.58,12.7,11.64,13.66,11.45,12.52,0.33,0.44,0.5,0.52,0.5,0.53,0.51,0.39,0.36,0.41,0.33,0.36,267.6,306.41,233.39,245.12,189.1,145.99,174.07,218.55,272.95,354.95,335.32,302.36,29.64,30.3,28.36,26.21,24.23,15.94,17.65,19.98,24.88,28.42,28.99,30.75,203.2,65.16,165.65,7.16,16.3,25.75,0.05,3.97,0.52,9.05,46.89,96.04,0
2008,78.69,80.88,80.88,81.12,84.25,82.81,83.69,81.12,82.12,81.56,79.31,81,7.27,10.49,10.31,6.25,18.28,10.5,11.25,10.24,14.11,8.76,9.76,22.06,11.84,11.48,15.08,17.79,14.96,16.52,14.27,16.12,13,14.91,13.72,11.27,0.34,0.35,0.48,0.53,0.45,0.48,0.43,0.49,0.4,0.43,0.38,0.3,394.37,303.65,327.99,282.61,232.46,172.34,202.11,245.76,275.87,369.31,305.71,304.21,31.96,29.61,28.42,24.9,21.32,19.35,18.33,19.14,25.46,28.83,30.26,30.58,78.94,163.85,54.1,5.39,0.15,10.9,0.55,3.05,7.72,7.65,78.47,134.5,0
2009,83.31,81.12,77.81,80.75,82.12,83.38,83,83.81,84.06,83,79.38,80.62,12.66,7.81,8.18,8.55,9.7,13.7,14.48,15.34,16.43,16.56,10.91,8.3,9.91,12.95,16.61,17.34,16.31,13.58,14.91,14.95,11.93,13.98,13.78,11.26,0.28,0.4,0.5,0.52,0.48,0.41,0.45,0.46,0.37,0.41,0.38,0.31,309.66,277.21,309.8,263.22,211.45,153.81,190,244.64,275.35,328.61,358.24,363.85,29.17,28.93,28.77,26.36,21.26,19.33,19.03,23.26,25.89,26.85,30.44,30.49,207.8,122.96,21.99,10.26,13.59,1.64,0.54,0.76,3.26,3.5,18.23,95.03,0
